    Value  Size Type    Bind   Vis      Ndx Name
 02000000     4 OBJECT  LOCAL  DEFAULT    1 blkdev_list
 02000004  1024 OBJECT  LOCAL  DEFAULT    1 g_usb_input_buf
 02000404  1024 OBJECT  LOCAL  DEFAULT    1 g_usb_output_buf
 02000804     1 OBJECT  GLOBAL DEFAULT    1 g_da_verified
 02000805    32 OBJECT  LOCAL  DEFAULT    1 g_I2C_CmdBuf
 02000828     4 OBJECT  LOCAL  DEFAULT    1 dlcomport
 0200082c    32 OBJECT  LOCAL  DEFAULT    1 g_I2C_DataBuf
 0200084c     4 OBJECT  LOCAL  DEFAULT    1 g_meta_ready_start_time
 02000850     8 OBJECT  LOCAL  DEFAULT    1 g_addr_trans_tbl
 02000858    40 OBJECT  LOCAL  DEFAULT    1 g_mmc_bdev
 02000880     8 OBJECT  GLOBAL DEFAULT    1 g_emmc_size
 02000888   144 OBJECT  LOCAL  DEFAULT    1 g_emmc_addr_trans
 02000918  1456 OBJECT  GLOBAL DEFAULT    1 sd_card
 02000ec8   200 OBJECT  GLOBAL DEFAULT    1 sd_host
 02000f90    40 OBJECT  LOCAL  DEFAULT    1 msdc_priv
 02000fb8     8 OBJECT  LOCAL  DEFAULT    1 msdc_tune_forcing
 02000fc0    22 OBJECT  LOCAL  DEFAULT    1 id
 02000fd8     4 OBJECT  LOCAL  DEFAULT    1 fw_id_len
 02000fdc     4 OBJECT  LOCAL  DEFAULT    1 found.1353
 02000fe0     4 OBJECT  GLOBAL DEFAULT    1 g_charger_in_flag
 02000fe4     4 OBJECT  GLOBAL DEFAULT    1 g_ret
 02000fe8     4 OBJECT  GLOBAL DEFAULT    1 g_first_check
 02000fec     4 OBJECT  LOCAL  DEFAULT    1 timestamp
 02000ff0     4 OBJECT  LOCAL  DEFAULT    1 lastinc
 02000ff4     4 OBJECT  LOCAL  DEFAULT    1 status.1246
 02000ff8     4 OBJECT  GLOBAL DEFAULT    1 g_rgu_status
 02000ffc     4 OBJECT  LOCAL  DEFAULT    1 reboot_from
 02001000     4 OBJECT  LOCAL  DEFAULT    1 rgu_mode
 02001004     4 OBJECT  LOCAL  DEFAULT    1 timeout
 02001008     1 OBJECT  LOCAL  DEFAULT    1 recovery_flag
 0200100c     4 OBJECT  GLOBAL DEFAULT    1 set_address
 02001010     4 OBJECT  LOCAL  DEFAULT    1 ep0_urb
 02001014     4 OBJECT  GLOBAL DEFAULT    1 g_usb_port_state
 02001018     4 OBJECT  LOCAL  DEFAULT    1 udc_device
 0200101c     4 OBJECT  GLOBAL DEFAULT    1 ep0_state
 02001020     4 OBJECT  GLOBAL DEFAULT    1 g_usbphy_ok
 02001024  1052 OBJECT  GLOBAL DEFAULT    1 mt6573_rx_urb
 02001440    12 OBJECT  LOCAL  DEFAULT    1 mt_usb_config
 0200144c  1052 OBJECT  GLOBAL DEFAULT    1 mt6573_ep0_urb
 02001868    28 OBJECT  LOCAL  DEFAULT    1 mt_usb_comm_alternate_int
 02001884   112 OBJECT  LOCAL  DEFAULT    1 mt_usb_ep
